date,high,open,low,close,quantity,amount,ma7,ma20,ma60,ma120,ma453
2019-04-17,5230.4,5173.72,5146.8,5202.82,23307.536134,120972345.518216,5091.912857142857,4885.2465,4233.8855,3944.9619166666666,
2019-04-18,5287.0,5202.41,5198.8,5258.44,22619.239001,118573129.865201,5126.351428571428,4943.005999999999,4260.399833333333,3958.26375,
2019-04-19,5320.0,5258.44,5175.0,5258.68,24611.236323,128937309.638064,5156.447142857142,5000.5915,4283.067833333333,3968.3392499999995,
2019-04-20,5333.42,5258.68,5230.1,5291.73,19168.908274,101343660.153244,5191.662857142857,5059.9805,4306.1335,3980.448166666667,
2019-04-21,5314.35,5292.91,5165.0,5256.14,25549.570939,133929931.150687,5209.4971428571425,5115.5595,4327.5735,3991.34175,
2019-04-22,5400.0,5257.41,5208.35,5357.14,29563.852309,156632202.970996,5256.952857142857,5140.552,4351.2373333333335,4003.237,
2019-04-23,5600.0,5357.14,5332.41,5493.31,41262.103917,227154061.857714,5302.608571428572,5168.5875,4376.759166666667,4015.6145,
2019-04-24,5582.2,5490.91,5333.35,5415.0,48224.152413,262493252.935842,5332.92,5194.4045,4398.379833333334,4029.5245833333333,
2019-04-25,5491.84,5415.0,5102.0,5219.9,49636.089948,265091565.61466,5327.414285714286,5205.152,4422.9855,4041.542583333334,
2019-04-26,5510.0,5220.47,5161.62,5314.1,48912.294513,259659705.651386,5335.331428571429,5218.6625,4447.755166666667,4056.0941666666668,
2019-04-27,5342.5,5315.0,5257.67,5295.69,15422.896935,81749716.4217444,5335.897142857143,5224.9335,4472.529500000001,4068.231083333333,
2019-04-28,5340.0,5295.69,5259.48,5307.52,14371.433869,76277087.3742408,5343.237142857143,5228.4645,4497.353666666667,4081.666083333333,
